lib,trial,test_group,type,region,thread_ms,real_ms,iters,total_cpu_ms,total_real_ms,soft_faults,hard_faults
confh,10,loop,function,parse multiple values of the same table,,,1,7.465,7.680,91,0
lua,10,loop,perf,Open,1.400,1.413,1,,,
lua,10,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.126,0.127,1000,,,
lua,10,loop,perf,Close,0.119,0.120,1,,,
lua,10,loop,function,parse multiple values of the same table,,,1,3.709,3.924,92,0
confh,11,loop,perf,Open,1.268,1.293,1,,,
confh,11,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.483,1.507,1000,,,
confh,11,loop,perf,Close,0.103,0.103,1,,,
confh,11,loop,function,parse multiple values of the same table,,,1,6.492,6.775,90,0
lua,11,loop,perf,Open,1.226,1.232,1,,,
lua,11,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.109,0.118,1000,,,
lua,11,loop,perf,Close,0.169,0.187,1,,,
lua,11,loop,function,parse multiple values of the same table,,,1,3.491,3.841,90,0
confh,12,loop,perf,Open,1.342,1.366,1,,,
confh,12,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.689,1.697,1000,,,
confh,12,loop,perf,Close,0.125,0.125,1,,,
confh,12,loop,function,parse multiple values of the same table,,,1,6.899,7.156,92,0
lua,12,loop,perf,Open,1.245,1.257,1,,,
lua,12,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.101,0.102,1000,,,
lua,12,loop,perf,Close,0.091,0.091,1,,,
lua,12,loop,function,parse multiple values of the same table,,,1,3.048,3.268,89,0
confh,13,loop,perf,Open,1.164,1.173,1,,,
confh,13,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.262,1.268,1000,,,
confh,13,loop,perf,Close,0.086,0.086,1,,,
confh,13,loop,function,parse multiple values of the same table,,,1,5.083,5.332,92,0
lua,13,loop,perf,Open,1.324,1.351,1,,,
